,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,days_in_waiting_list,different_room_assigned,is_canceled
313,90,2015,29,12,0,False,False
314,34,2015,29,12,0,False,False
315,58,2015,29,12,0,False,True
316,59,2015,29,12,0,False,False
317,90,2015,29,12,0,False,False
318,116,2015,29,12,0,False,False
319,31,2015,29,12,0,False,False
320,51,2015,29,12,0,False,True
321,48,2015,29,12,0,False,False
322,59,2015,29,12,0,False,False
323,97,2015,29,12,0,False,True
324,12,2015,29,12,0,False,False
325,64,2015,29,12,0,False,False
326,31,2015,29,12,0,False,False
327,59,2015,29,12,0,False,False
328,55,2015,29,12,0,False,True
329,81,2015,29,12,0,False,False
330,1,2015,29,12,0,False,False
331,34,2015,29,12,0,False,False
332,13,2015,29,12,0,False,False
333,40,2015,29,12,0,True,False
334,1,2015,29,12,0,True,False
335,34,2015,29,12,0,False,False
336,88,2015,29,12,0,False,False
337,9,2015,29,12,0,False,False
338,24,2015,29,12,0,False,True
339,97,2015,29,12,0,True,False
340,60,2015,29,12,0,False,False
341,100,2015,29,12,0,False,False
342,50,2015,29,12,0,False,False
343,47,2015,29,12,0,False,True
344,8,2015,29,12,0,False,False
345,34,2015,29,12,0,False,False
346,47,2015,29,13,0,False,False
347,115,2015,29,13,0,False,False
348,79,2015,29,13,0,False,True
349,91,2015,29,13,0,False,False
350,98,2015,29,13,0,False,False
351,109,2015,29,13,0,True,False
352,0,2015,29,13,0,True,False
353,98,2015,29,13,0,False,False
355,9,2015,29,13,0,False,False
356,62,2015,29,13,0,False,False
357,45,2015,29,13,0,False,True
358,42,2015,29,13,0,True,False
359,54,2015,29,13,0,False,False
360,51,2015,29,13,0,False,False
361,54,2015,29,13,0,False,False
362,58,2015,29,13,0,True,False
363,0,2015,29,13,0,False,False
364,60,2015,29,13,0,False,True
365,321,2015,29,13,0,False,True
366,40,2015,29,13,0,False,False
367,51,2015,29,13,0,False,True
369,75,2015,29,13,0,False,True
370,101,2015,29,13,0,False,False
371,42,2015,29,13,0,False,True
372,40,2015,29,13,0,False,False
374,81,2015,29,13,0,False,True
375,98,2015,29,13,0,False,True
376,32,2015,29,13,0,True,False
377,72,2015,29,13,0,False,False
378,115,2015,29,13,0,False,False
379,118,2015,29,13,0,False,False
380,81,2015,29,13,0,False,False
381,95,2015,29,13,0,False,True
382,16,2015,29,13,0,False,False
383,56,2015,29,13,0,False,False
384,88,2015,29,13,0,False,False
385,41,2015,29,13,0,False,False
386,40,2015,29,14,0,False,True
388,1,2015,29,14,0,False,False
389,1,2015,29,14,0,False,False
390,76,2015,29,14,0,False,True
391,0,2015,29,14,0,True,False
392,49,2015,29,14,0,True,False
393,76,2015,29,14,0,False,False
396,317,2015,29,14,0,True,False
397,112,2015,29,14,0,False,True
398,6,2015,29,14,0,False,False
399,8,2015,29,14,0,False,False
400,96,2015,29,14,0,False,True
401,96,2015,29,14,0,False,True
403,66,2015,29,14,0,True,False
404,38,2015,29,14,0,False,False
405,38,2015,29,14,0,False,False
408,62,2015,29,15,0,False,True
409,39,2015,29,15,0,False,True
410,37,2015,29,15,0,False,False
411,58,2015,29,15,0,False,True
412,37,2015,29,15,0,False,False
413,57,2015,29,15,0,True,False
414,57,2015,29,15,0,False,False
415,57,2015,29,15,0,False,False
416,57,2015,29,15,0,True,False
417,57,2015,29,15,0,True,False
418,83,2015,29,15,0,False,False
419,57,2015,29,15,0,False,False
420,57,2015,29,15,0,True,False
421,57,2015,29,15,0,False,True
422,57,2015,29,15,0,True,False
423,57,2015,29,15,0,True,False
424,57,2015,29,15,0,True,False
425,57,2015,29,15,0,True,False
426,57,2015,29,15,0,True,False
427,57,2015,29,15,0,True,False
428,57,2015,29,15,0,False,False
429,57,2015,29,15,0,False,False
430,57,2015,29,15,0,False,False
431,57,2015,29,15,0,False,False
432,57,2015,29,15,0,False,False
433,57,2015,29,15,0,True,False
434,66,2015,29,16,0,False,True
435,13,2015,29,16,0,True,False
436,50,2015,29,16,0,False,False
437,48,2015,29,16,0,False,True
438,0,2015,29,16,0,False,True
439,7,2015,29,16,0,False,False
441,66,2015,29,16,0,False,True
442,13,2015,29,16,0,True,False
443,66,2015,29,16,0,False,False
444,10,2015,29,16,0,False,False
445,10,2015,29,16,0,False,True
446,58,2015,29,16,0,False,True
447,17,2015,29,16,0,False,True
448,19,2015,29,16,0,True,False
449,10,2015,29,16,0,False,False
451,10,2015,29,16,0,False,False
452,63,2015,29,16,0,True,False
453,35,2015,29,16,0,False,True
454,113,2015,29,16,0,False,False
455,35,2015,29,16,0,False,True
456,68,2015,29,16,0,False,False
457,113,2015,29,16,0,False,False
459,6,2015,29,17,0,False,False
461,17,2015,29,17,0,True,False
462,1,2015,29,17,0,True,False
463,2,2015,29,17,0,False,False
464,15,2015,29,17,0,False,True
466,11,2015,29,17,0,True,False
467,6,2015,29,17,0,True,True
469,1,2015,29,17,0,True,False
470,48,2015,29,17,0,True,False
471,15,2015,29,17,0,True,False
472,3,2015,29,17,0,False,True
473,23,2015,29,17,0,False,True
474,53,2015,29,17,0,False,False
475,53,2015,29,17,0,False,False
476,94,2015,29,17,0,True,False
477,64,2015,29,17,0,False,False
478,53,2015,29,17,0,False,False
479,53,2015,29,17,0,False,False
480,64,2015,29,17,0,False,False
481,53,2015,29,17,0,False,False
483,24,2015,29,17,0,False,False
484,23,2015,29,17,0,False,False
485,53,2015,29,17,0,True,False
486,23,2015,29,17,0,False,True
487,90,2015,29,17,0,False,False
488,79,2015,29,17,0,False,False
489,43,2015,29,17,0,False,False
490,90,2015,29,17,0,False,False
491,65,2015,29,17,0,False,False
492,65,2015,29,17,0,False,False
493,99,2015,29,17,0,False,False
495,92,2015,29,17,0,False,False
496,91,2015,29,17,0,False,False
497,38,2015,29,17,0,False,False
498,6,2015,29,17,0,False,False
499,38,2015,29,17,0,False,False
500,13,2015,29,17,0,False,False
501,32,2015,29,17,0,False,True
502,315,2015,29,17,0,True,False
503,8,2015,29,17,0,True,False
505,91,2015,29,17,0,False,False
506,3,2015,29,17,0,True,False
508,19,2015,29,18,0,True,False
509,25,2015,29,18,0,False,False
510,108,2015,29,18,0,False,False
511,37,2015,29,18,0,False,True
512,45,2015,29,18,0,False,False
514,44,2015,29,18,0,False,False
515,26,2015,29,18,0,False,False
516,96,2015,29,18,0,False,True
517,123,2015,29,18,0,False,True
518,42,2015,29,18,0,False,True
519,59,2015,29,18,0,False,False
520,28,2015,29,18,0,False,False
524,4,2015,29,18,0,False,False
527,44,2015,29,18,0,False,False
528,95,2015,29,18,0,False,False
529,94,2015,29,18,0,True,False
530,40,2015,29,18,0,False,True
533,94,2015,29,18,0,True,False
534,57,2015,29,18,0,False,False
535,60,2015,29,18,0,False,True
536,57,2015,29,18,0,False,False
537,87,2015,29,18,0,False,False
539,0,2015,30,19,0,False,False
540,6,2015,30,19,0,False,False
542,19,2015,30,19,0,False,False
543,4,2015,30,19,0,False,False
544,59,2015,30,19,0,False,True
546,37,2015,30,19,0,False,True
548,38,2015,30,19,0,False,True
549,62,2015,30,19,0,False,True
550,41,2015,30,19,0,False,False
551,60,2015,30,19,0,False,True
552,104,2015,30,19,0,False,False
553,62,2015,30,19,0,False,True
554,117,2015,30,19,0,False,False
555,31,2015,30,19,0,False,True
556,34,2015,30,19,0,False,False
557,47,2015,30,19,0,False,False
558,24,2015,30,19,0,False,True
559,104,2015,30,19,0,False,True
560,104,2015,30,19,0,False,False
561,32,2015,30,19,0,False,False
562,47,2015,30,19,0,False,True
563,29,2015,30,19,0,False,False
564,30,2015,30,19,0,False,False
565,123,2015,30,19,0,False,False
566,14,2015,30,20,0,True,False
567,118,2015,30,20,0,False,True
568,0,2015,30,20,0,True,False
569,0,2015,30,20,0,True,False
570,79,2015,30,20,0,True,False
571,63,2015,30,20,0,True,False
572,68,2015,30,20,0,True,False
573,96,2015,30,20,0,False,False
574,41,2015,30,20,0,False,True
575,46,2015,30,20,0,False,False
576,41,2015,30,20,0,False,True
577,60,2015,30,20,0,False,True
578,41,2015,30,20,0,False,False
579,69,2015,30,20,0,False,True
580,41,2015,30,20,0,False,True
581,52,2015,30,20,0,True,False
582,41,2015,30,20,0,False,True
583,89,2015,30,20,0,False,False
585,65,2015,30,20,0,False,False
586,82,2015,30,20,0,False,False
587,42,2015,30,20,0,False,False
588,62,2015,30,20,0,False,False
589,86,2015,30,20,0,False,True
590,118,2015,30,20,0,False,True
591,28,2015,30,20,0,False,False
592,52,2015,30,20,0,False,True
593,49,2015,30,20,0,False,True
594,39,2015,30,20,0,False,False
595,39,2015,30,20,0,False,False
596,39,2015,30,20,0,False,False
597,7,2015,30,20,0,False,True
598,7,2015,30,20,0,False,True
599,42,2015,30,21,0,False,True
601,81,2015,30,21,0,False,True
602,63,2015,30,21,0,False,True
603,61,2015,30,21,0,True,False
604,8,2015,30,21,0,False,False
605,89,2015,30,21,0,True,False
606,57,2015,30,21,0,False,False
607,102,2015,30,21,0,True,False
608,108,2015,30,21,0,False,False
609,28,2015,30,21,0,False,False
610,29,2015,30,21,0,False,False
612,96,2015,30,22,0,False,True
613,44,2015,30,22,0,False,True
614,44,2015,30,22,0,False,False
615,44,2015,30,22,0,False,True
616,44,2015,30,22,0,False,True
617,41,2015,30,22,0,False,True
618,16,2015,30,23,0,True,False
619,73,2015,30,23,0,True,False
620,3,2015,30,23,0,True,False
621,0,2015,30,23,0,False,False
622,55,2015,30,23,0,False,True
623,33,2015,30,23,0,False,False
624,19,2015,30,23,0,False,True
625,55,2015,30,23,0,False,True
626,33,2015,30,23,0,True,False
627,19,2015,30,23,0,False,True
629,117,2015,30,23,0,True,False
630,72,2015,30,23,0,False,True
631,19,2015,30,23,0,False,True
632,34,2015,30,23,0,False,False
633,9,2015,30,24,0,False,False
634,8,2015,30,24,0,True,False
636,22,2015,30,24,0,False,False
637,22,2015,30,24,0,False,False
638,22,2015,30,24,0,False,False
639,36,2015,30,24,0,True,False
640,22,2015,30,24,0,False,False
641,22,2015,30,24,0,False,True
642,18,2015,30,24,0,True,False
643,8,2015,30,24,0,True,False
644,67,2015,30,24,0,False,True
645,105,2015,30,24,0,False,True
646,1,2015,30,24,0,False,False
647,67,2015,30,24,0,False,True
648,39,2015,30,24,0,False,False
649,45,2015,30,24,0,False,True
650,45,2015,30,24,0,False,True
651,14,2015,30,24,0,True,False
652,53,2015,30,24,0,False,True
653,28,2015,30,24,0,False,False
654,55,2015,30,24,0,False,False
655,55,2015,30,24,0,False,False
656,25,2015,30,24,0,False,False
657,43,2015,30,24,0,False,True
658,109,2015,30,24,0,False,True
659,62,2015,30,24,0,False,True
660,25,2015,30,24,0,False,False
661,43,2015,30,24,0,False,False
662,35,2015,30,24,0,False,False
663,42,2015,30,24,0,False,True
664,312,2015,30,24,0,False,True
665,30,2015,30,25,0,False,False
666,47,2015,30,25,0,True,False
667,40,2015,30,25,0,True,False
668,11,2015,30,25,0,True,False
669,39,2015,30,25,0,True,False
670,39,2015,30,25,0,False,True
672,12,2015,30,25,0,False,True
673,16,2015,30,25,0,False,True
675,12,2015,30,25,0,True,False
676,51,2015,30,25,0,False,False
677,67,2015,30,25,0,True,False
678,52,2015,30,25,0,False,False
679,25,2015,30,25,0,False,False
680,94,2015,30,25,0,False,False
681,54,2015,30,25,0,False,True
682,33,2015,30,25,0,False,False
684,43,2015,30,25,0,False,False
685,87,2015,30,25,0,False,True
686,54,2015,30,25,0,False,False
687,32,2015,30,25,0,False,False
688,29,2015,30,25,0,False,True
689,96,2015,30,25,0,False,True
690,100,2015,30,25,0,False,True
691,54,2015,30,25,0,False,False
692,75,2015,30,25,0,False,False
693,31,2015,30,25,0,False,False
694,25,2015,30,25,0,False,True
695,61,2015,30,25,0,False,False
696,60,2015,30,25,0,False,False
697,31,2015,30,25,0,False,True
698,107,2015,30,25,0,False,True
699,31,2015,30,25,0,False,True
700,115,2015,30,25,0,False,False
701,59,2015,30,25,0,False,False
702,85,2015,30,25,0,False,True
703,0,2015,30,25,0,True,False
704,299,2015,30,25,0,False,True
706,50,2015,30,25,0,False,True
707,88,2015,31,26,0,False,True
708,116,2015,31,26,0,False,True
709,47,2015,31,26,0,True,False
710,48,2015,31,26,0,True,False
711,54,2015,31,26,0,False,True
712,33,2015,31,26,0,False,True
713,73,2015,31,26,0,False,False
714,54,2015,31,26,0,False,True
715,33,2015,31,26,0,False,True
716,38,2015,31,26,0,False,False
717,34,2015,31,26,0,False,False
718,130,2015,31,26,0,False,False
719,39,2015,31,26,0,False,True
720,39,2015,31,26,0,False,True
721,45,2015,31,26,0,False,False
722,31,2015,31,27,0,True,False
723,48,2015,31,27,0,False,True
724,59,2015,31,27,0,False,False
725,48,2015,31,27,0,False,True
726,48,2015,31,27,0,False,True
727,48,2015,31,27,0,False,True
728,48,2015,31,27,0,True,False
729,96,2015,31,27,0,True,False
730,51,2015,31,27,0,True,False
731,96,2015,31,27,0,True,False
732,41,2015,31,27,0,False,True
734,27,2015,31,27,0,True,False
735,28,2015,31,27,0,True,False
736,30,2015,31,27,0,True,False
737,45,2015,31,27,0,False,False
739,31,2015,31,27,0,True,False
740,74,2015,31,27,0,False,True
741,31,2015,31,27,0,False,False
742,87,2015,31,27,0,False,True
743,48,2015,31,27,0,True,False
744,41,2015,31,27,0,False,True
745,35,2015,31,27,0,False,False
746,28,2015,31,27,0,False,False
747,77,2015,31,27,0,False,False
748,33,2015,31,27,0,False,True
749,30,2015,31,27,0,False,False
750,34,2015,31,27,0,False,True
751,298,2015,31,27,0,False,True
752,35,2015,31,27,0,False,False
753,40,2015,31,27,0,False,False
754,101,2015,31,27,0,False,True
755,101,2015,31,27,0,False,True
756,101,2015,31,27,0,False,True
757,101,2015,31,27,0,False,True
758,38,2015,31,27,0,False,False
759,76,2015,31,27,0,False,False
760,70,2015,31,28,0,True,False
761,70,2015,31,28,0,True,False
762,68,2015,31,28,0,True,False
763,63,2015,31,28,0,False,True
764,11,2015,31,28,0,False,True
765,32,2015,31,28,0,False,False
766,29,2015,31,28,0,False,False
768,50,2015,31,28,0,False,False
769,29,2015,31,28,0,False,True
770,36,2015,31,28,0,False,False
771,49,2015,31,28,0,False,False
772,70,2015,31,28,0,False,True
773,110,2015,31,28,0,True,False
774,8,2015,31,29,0,True,False
775,119,2015,31,29,0,False,True
776,30,2015,31,29,0,True,False
777,29,2015,31,29,0,False,True
778,71,2015,31,29,0,True,False
779,37,2015,31,29,0,True,True
781,37,2015,31,29,0,True,False
783,37,2015,31,29,0,True,True
784,37,2015,31,29,0,True,False
785,97,2015,31,29,0,False,False
786,71,2015,31,29,0,False,True
787,118,2015,31,29,0,False,True
788,102,2015,31,29,0,True,False
789,54,2015,31,29,0,False,True
790,58,2015,31,29,0,False,True
791,34,2015,31,29,0,True,False
792,105,2015,31,29,0,True,True
793,47,2015,31,29,0,False,True
794,15,2015,31,30,0,False,True
795,37,2015,31,30,0,True,False
797,8,2015,31,30,0,True,True
798,17,2015,31,30,0,True,False
800,30,2015,31,30,0,False,True
801,31,2015,31,30,0,False,True
802,66,2015,31,30,0,False,True
803,52,2015,31,30,0,False,False
804,20,2015,31,30,0,True,False
805,30,2015,31,30,0,False,True
806,31,2015,31,30,0,False,True
807,62,2015,31,30,0,False,True
808,65,2015,31,30,0,False,True
809,64,2015,31,30,0,False,True
811,75,2015,31,30,0,False,False
812,75,2015,31,30,0,False,False
813,62,2015,31,30,0,False,True
814,42,2015,31,31,0,True,False
815,46,2015,31,31,0,True,False
817,25,2015,31,31,0,False,True
818,16,2015,31,31,0,False,True
819,16,2015,31,31,0,False,True
821,4,2015,31,31,0,True,True
822,4,2015,31,31,0,False,False
823,25,2015,31,31,0,False,True
824,83,2015,31,31,0,False,True
825,4,2015,31,31,0,False,False
826,56,2015,31,31,0,False,True
827,32,2015,31,31,0,False,True
828,32,2015,31,31,0,False,False
829,0,2015,31,31,0,True,False
830,18,2015,31,31,0,False,True
832,39,2015,31,31,0,False,True
833,18,2015,31,31,0,False,True
834,18,2015,31,31,0,False,True
835,23,2015,31,31,0,False,True
836,286,2015,31,31,0,False,False
837,72,2015,31,31,0,False,False
838,136,2015,31,31,0,False,True
839,58,2015,31,31,0,False,False
840,80,2015,31,31,0,False,False
841,113,2015,31,31,0,False,False
842,129,2015,31,1,0,False,False
843,84,2015,31,1,0,False,True
844,84,2015,31,1,0,False,True
847,80,2015,31,1,0,False,True
850,24,2015,31,1,0,False,True
852,9,2015,31,1,0,False,True
853,3,2015,31,1,0,False,True
854,3,2015,31,1,0,False,False
855,124,2015,31,1,0,False,True
856,74,2015,31,1,0,False,True
857,82,2015,31,1,0,False,True
858,91,2015,31,1,0,False,True
859,77,2015,31,1,0,False,True
860,130,2015,31,1,0,False,True
861,91,2015,31,1,0,False,True
863,130,2015,31,1,0,False,True
864,66,2015,31,1,0,False,False
865,53,2015,31,1,0,False,True
866,80,2015,31,1,0,False,True
867,77,2015,31,1,0,False,True
868,57,2015,31,1,0,False,True
869,11,2015,31,1,0,False,False
870,25,2015,32,2,0,False,True
871,2,2015,32,2,0,True,True
872,36,2015,32,2,0,False,True
873,36,2015,32,2,0,False,True
874,115,2015,32,2,0,False,False
878,34,2015,32,2,0,False,False
879,78,2015,32,2,0,False,False
880,93,2015,32,2,0,False,False
881,327,2015,32,2,0,False,True
882,21,2015,32,3,0,True,False
883,0,2015,32,3,0,False,False
884,47,2015,32,3,0,False,True
885,81,2015,32,3,0,False,True
886,52,2015,32,3,0,False,True
887,13,2015,32,3,0,False,True
888,83,2015,32,3,0,False,False
889,131,2015,32,3,0,False,True
890,460,2015,32,3,0,False,False
891,82,2015,32,3,0,False,True
892,61,2015,32,3,0,False,True
893,94,2015,32,4,0,True,False
894,1,2015,32,4,0,True,False
895,0,2015,32,4,0,True,False
896,36,2015,32,4,0,False,True
897,61,2015,32,4,0,False,True
900,15,2015,32,4,0,False,True
901,14,2015,32,4,0,False,False
902,13,2015,32,4,0,False,True
903,140,2015,32,4,0,True,False
904,6,2015,32,4,0,False,False
905,140,2015,32,4,0,True,False
